video_id,category_id
0ZK6SRaDC_o,22
0ZUrMt4EhPY,24
0ZcGDF4BAac,20
0ZntV3hbAgQ,17
0_ECKKkHo_w,24
0_KmOJZWNSA,24
0_R-a3jK2nQ,24
0_TdAGzU1LI,23
0_UDkgeeQao,24
0__Grh7F8K8,17
0_o5gMOF_K4,20
0_voaHcR-yw,17
0_yeIkmGYQ4,24
0a-FwN8HyHQ,22
0a2rLA2wNsU,24
0a4_QusqGh0,10
0a5YhsnITFE,17
0aLYzjaM19k,17
0aZPJBjutY0,10
0aa3wcHdKK8,24
0aaeUI1ucfQ,10
0apg7IoIoPw,10
0avqY81npVU,17
0b-EatqUvb4,10
0b0J0jPd5YI,24
0b9QOL0FMBg,2
0bCE3SMcdng,17
0bJfIZyEP98,23
0bVKAF3ND-Y,26
0bWCi0CQ1R8,23
0bdyL0iCRLM,25
0bnkSroqlOE,25
0bua2qqWYyQ,24
0bvqucpt2Ds,24
0cMLZ1hLLEY,23
0cVrM49M9Y4,20
0d1OxmAIExA,24
0dEcPF4Kocw,24
0dOXLLUHbzQ,17
0dYMRj9whp4,24
0d_h5uqnYOI,25
0dgYA8j9AbE,10
0dkEl7Rbhm8,17
0dsE9x3RrWo,22
0dw08qot1Pg,20
0e3GPea1Tyg,24
0eDJ0Tla0ac,10
0eEL_4lRFgI,17
0eF0Ax8aGfc,10
0eFdq5Fd2TU,24
0eNEtuPdW7Y,24
0eV9r_dW0JU,24
0eeTU3CYf94,24
0eiNWr2e-8I,24
0fGHJxd5L8g,26
0fGHZf0K1p8,10
0fGN2mvAhDA,20
0fT2amS9KZ4,22
0fhaEIlGux4,25
0fhhg0hkd-0,24
0fkRIzSBoIU,2
0flrMmaRfpA,17
0frvTbcz0dk,17
0fsWxnb6yoc,23
0g0Qgh85jM8,19
0g92o2bezkc,10
0gFqpV9--q0,23
0gJWldlooog,10
0gQDnzpy1n4,28
0gW_-LHPu7E,20
0guho8x0Tfc,24
0h35OrS186M,17
0h8NjKKMOhY,23
0hMQLszsuRg,24
0hQhE4xZQ_A,22
0hTej_EWD0U,20
0hYpFDObgaM,24
0hixXndP7t4,17
0hmDexsnsXs,17
0hqBSwLHMec,24
0i6VzIUI5SU,24
0i7wPzU5E-8,10
0iiloIcQuqw,25
0ir1qkPXPVM,10
0iscaY9_ecU,10
0iv0bsuZpf4,22
0iwX8yqw4Lg,22
0izAqxOlDxA,23
0jd2apTQUFI,20
0k-gHHbTPdM,20
0k5pxEqR-hs,24
0kCzF2r3tXE,28
0kQ37i_n3ec,24
0kQJOSVwqwc,10
0kYmq1zcORg,26
0ka_RArXke8,15
0kcVPaVr1Eg,23
0kqR2RLtJZM,17
0ksDS7W3IpI,10
0l3-iufiywU,24
0lA-l6fSgEM,22
0lUesZzjO00,27
0lW6v-ojE6M,17
0lX-k8SNFa8,24
0m-EBkLpReU,24
0m15AccB-O8,17
0mJEokYWKD8,22
0mPih9CsCQM,22
0mSZE5wxKt4,10
0mTgbA-B0VI,10
0ma9coDCdkU,25
0maWbr0FHKY,20
0mpsro3s5pI,27
0mtHh0k6sVg,10
0n0o2QN4oN8,24
0nI6ROX2pwc,20
0nOW18CDqV8,17
0nSPASzWRsw,10
0nTZ-jEtTwA,24
0nVPVsIKECQ,24
0njY-J4Qk40,17
0nqJvjUNlRA,24
0oAembu2TT0,2
0oCUWQd9pL0,10
0oHloBCUvUU,20
0oQpnSlJJ64,28
0ofKT9TGMPs,10
0opZqh_TprM,24
0oujty6gp3M,1
0pGnLtG8l3s,1
0pGo-Po_6Xc,22
0pH0MJCtqzM,22
0pOoxrFuuNQ,10
0pX9HZL8gpU,20
0pbee2YkRKg,23
0pehECOihF0,17
0pj63XMycHU,24
0pseQ3LLEcA,22
0pt6lris3wg,17
0q1DEs9KnZY,20
0qfHzDfG7io,24
0qmdj78mfTk,27
0qtJKMwlhrw,17
0r21JLRFjEI,20
0r5J4EjL5XY,24
0rEZs3zKdBM,17
0rEy2E6PHlc,20
0rNugEg_uRY,17
0rOer3k2DWg,10
0rPelLh_WzA,24
0rRzu7A1K3Y,20
0rkTgPt3M4k,28
0rlOPa-C8Qg,10
0s44uM88N5Y,24
0s8DPQ8WEoY,29
0sJkhhZWkWo,23
0sJqJhYoYtc,20
0sLPkhR27T4,20
0sT5fL7arng,24
0sWBNZCGhvo,23
0sbw4axOFQw,28
0seGFyKqIrw,23
0sk3QUcYS2w,24
0ssucYoYtYE,24
0t6M7Xd6M3A,26
0tARFOjXsLg,25
0tTE0hhrvvo,17
0tTd5xaQQs0,22
0tg5Kn66hJw,10
